Lemma;Categoria;Categoria_2;Categoria_3;Descrizione;Descrizione_2;Descrizione_3;Frequenza;Concreto_Astratto;Stagione;Camera;HasImage
Crudo;Aggettivo;Modalità;;Di cibi, non cotto o poco cotto;;;alta;concreto;;;
Dado;Oggetto;Giocare;;Oggetto di forma cubica o a base quadrata recante sulle sei facce una numerazione progressiva, con punti colorati da 1 a 6.;;;alta;concreto;;;TRUE
Damigiana;vino;olio;Cantina;Recipiente di vetro per liquidi, di forma approssimativamente sferica, simile a un grosso fiasco, rivestito di vimini;;;medio;concreto;;;TRUE
Decotto;Bollito;Fallito;Infuso;Alimento bollito a lungo;Bevanda medicinale ottenuta facendo bollire in acqua per un certo tempo una o più sostanze al fine di estrarne le parti attive e solubili;;medio;astratto;Inverno ;;
Delfino;Animale;Pesce;Mare;Mammifero marino dei Cetacei (Delphinus delphis), con corpo affusolato, muso terminante in rostro e un'unica pinna dorsale;;;alto ;concreto;;;TRUE
Dente;osso;bocca;carie;Ciascuno degli organi infissi nelle ossa mascellari dell'uomo e dei vertebrati, adibiti alla masticazione e, in alcuni animali, alla difesa;;;alto;concreto;;;TRUE
Diamante;oggetto;prezioso;lusso;Gioiello prezioso;;;medio;concreto;;;TRUE
Dinosauro;animale;preistoria;;ogni Rettile preistorico (Dinosaurus), di dimensioni generalm. gigantesche, vissuto durante l'era mesozoica;;;basso;concreto;;;TRUE
Dito;corpo;ossa;mani;Ciascuna delle appendici terminali articolate delle mani e dei piedi dell'uomo e di altri animali;;;alto;concreto;;;TRUE
Doccia;acqua;Bagno;pulizia;Impianto idraulico impiegato per ottenere un getto d'acqua, in genere a spruzzo, che si dirige sul corpo per igiene o per cura;;;alto;concreto;;;TRUE
Dormire;sonno;notte;riposare;Essere nel sonno;;;alto;concretto;;;TRUE
Elefante;animale;zoo;dumbo; Grande mammifero dell'ordine dei Proboscidati, proprio dell'Africa centrale e orientale e dell'India;;;alto;concreto;;;TRUE
Erba;prato;fiori;verde;Pianta con fusto molle e non legnoso, generalm. piuttosto bassa;;;alto;concreto;;;TRUE
